source,target,type,weight
checkout-cart-1,checkout-invoice-1,reads,1
checkout-cart-1,checkout-cart-3,calls,4
checkout-cart-1,checkout-invoice-2,subscribes,8
checkout-cart-1,checkout-cart-2,subscribes,7
checkout-cart-2,checkout-cart-3,publishes,2
checkout-cart-2,checkout-payment-1,calls,6
checkout-cart-2,checkout-payment-3,calls,7
checkout-cart-2,checkout-pricing-3,reads,3
checkout-cart-2,checkout-cart-3,calls,2
checkout-cart-3,checkout-cart-2,reads,9
checkout-cart-3,checkout-invoice-3,reads,8
checkout-cart-3,checkout-refund-1,subscribes,3
checkout-cart-3,checkout-pricing-1,calls,7
checkout-pricing-1,checkout-invoice-1,publishes,5
checkout-pricing-1,checkout-invoice-2,reads,1
checkout-pricing-1,checkout-payment-1,subscribes,3
checkout-pricing-1,checkout-cart-1,calls,2
checkout-pricing-1,checkout-pricing-2,reads,3
checkout-pricing-2,checkout-invoice-3,publishes,6
checkout-pricing-2,checkout-payment-3,calls,7
checkout-pricing-2,checkout-cart-1,calls,2
checkout-pricing-2,checkout-invoice-1,reads,4
checkout-pricing-2,checkout-pricing-3,publishes,1
checkout-pricing-3,checkout-tax-3,reads,8
checkout-pricing-3,checkout-invoice-3,reads,7
checkout-pricing-3,checkout-pricing-2,publishes,3
checkout-pricing-3,checkout-tax-1,reads,4
checkout-pricing-3,checkout-payment-1,reads,4
checkout-payment-1,checkout-refund-3,calls,8
checkout-payment-1,checkout-invoice-1,calls,7
checkout-payment-1,checkout-invoice-3,calls,2
checkout-payment-1,checkout-payment-2,publishes,1
checkout-payment-2,checkout-invoice-1,publishes,8
checkout-payment-2,checkout-payment-3,reads,9
checkout-payment-2,checkout-payment-1,reads,2
checkout-payment-2,checkout-payment-3,subscribes,4
checkout-payment-3,checkout-refund-3,calls,4
checkout-payment-3,checkout-cart-3,publishes,2
checkout-payment-3,checkout-pricing-1,subscribes,7
checkout-payment-3,checkout-tax-1,calls,4
checkout-tax-1,checkout-cart-2,reads,9
checkout-tax-1,checkout-pricing-3,publishes,2
checkout-tax-1,checkout-refund-2,subscribes,3
checkout-tax-1,checkout-tax-2,reads,6
checkout-tax-2,checkout-cart-2,publishes,6
checkout-tax-2,checkout-cart-1,calls,1
checkout-tax-2,checkout-refund-1,subscribes,2
checkout-tax-2,checkout-invoice-3,publishes,2
checkout-tax-2,checkout-tax-3,reads,6
checkout-tax-3,checkout-cart-3,calls,6
checkout-tax-3,checkout-refund-3,publishes,3
checkout-tax-3,checkout-invoice-3,calls,6
checkout-tax-3,checkout-payment-3,calls,8
checkout-tax-3,checkout-invoice-1,calls,7
checkout-invoice-1,checkout-refund-1,calls,1
checkout-invoice-1,checkout-cart-1,calls,2
checkout-invoice-1,checkout-payment-1,publishes,2
checkout-invoice-1,checkout-invoice-2,publishes,7
checkout-invoice-2,checkout-invoice-1,calls,9
checkout-invoice-2,checkout-invoice-3,calls,9
checkout-invoice-2,checkout-refund-2,calls,5
checkout-invoice-2,checkout-payment-2,calls,8
checkout-invoice-2,checkout-invoice-3,calls,4
checkout-invoice-3,checkout-refund-1,publishes,1
checkout-invoice-3,checkout-refund-3,reads,5
